l_0(t)	l_1(t)	l_2(t)	l_3(t)	l_4(t)	l_5(t)	l_6(t)	l_7(t)	l_8(t)	l_9(t)	l_10(t)	l_11(t)	l_12(t)	l_13(t)	l_14(t)	l_15(t)	l_16(t)	l_17(t)	l_18(t)	l_19(t)	l_20(t)	l_21(t)	l_22(t)	l_23(t)	l_24(t)	l_25(t)	t
2	2	2	2	2	2	1.9999999999999998	1.9999999999999998	1.9999999999999998	1.9999999999999998	1.9999999999999996	1.9999999999999996	1.9999999999999998	2	2	2	2	2	2	2	2	2	2	2	1.9999999999999998	1.9999999999999996	0
1.8078478045905648	1.0774042471802356	0.4945250448022963	0.03933621024699718	-0.3060287702398809	-0.5575911570342413	-0.729678253299963	-0.8350644077730369	-0.8851023228474292	-0.8898452362312916	-0.8581605153987356	-0.7978351763352097	-0.7156738116099672	-0.6175893875555873	-0.5086873462423042	-0.39334342495617436	-0.27527558397880714	-0.1576104125781525	-0.04294436321203138	0.06659985502237004	0.16932141072843784	0.2638937165816734	0.3493207483565173	0.42489705282351303	0.49017119556695105	0.5449124138844181	0.10101010101010101
1.6341568422814627	0.3136260606398767	-0.4733569304394524	-0.8705087075389506	-0.9925121954062105	-0.929708974321237	-0.7521596268755117	-0.5131450777661297	-0.2521745111574276	0.0024412572451383285	0.23139817549470923	0.42254188075412014	0.569302945204599	0.6693867905432165	0.7236847455990196	0.7353764533831417	0.7091972045124155	0.6508468143922589	0.5665194004059491	0.4625358790045243	0.34506321532955364	0.2199064422161307	0.09236124172021853	-0.03288353035607228	-0.1518025806882391	-0.26105811892426706	0.20202020202020202
1.4771534298375961	-0.3133355760261568	-1.0186797298512715	-1.077321396097804	-0.7948416166621568	-0.3761689163470555	0.048718721056348224	0.4044719823707206	0.6544724523282629	0.7885506542665144	0.8136391385240905	0.7467896461385164	0.6100776471953244	0.4269982591549586	0.22002642401315065	0.009072798162562179	-0.189383559266498	-0.3626627292342054	-0.5018935460397873	-0.6017776980986775	-0.6601962669122792	-0.677726432482966	-0.6571194730355382	-0.6027776660786816	-0.5202567846097402	-0.41581216702453894	0.30303030303030304
1.3352342925876606	-0.8227201196752252	-1.236872986675173	-0.8466460162979408	-0.2118965900107982	0.3643947780931133	0.7464841092657364	0.9016408267751452	0.8552532926211012	0.6604390907474997	0.3783686782333797	0.06634967280976212	-0.22860373169855563	-0.47244836843834787	-0.6443360369332808	-0.7353411161418008	-0.7463814974814245	-0.685815201845617	-0.5670365779116309	-0.4062766840699381	-0.22072434580356726	-0.027020870528923158	0.15986290558706068	0.3273880700520071	0.4658866846472771	0.5687274275704275	0.40404040404040403
1.206950192234319	-1.231333024400669	-1.2067039010003155	-0.37768926587124785	0.43482386495598124	0.9091479595345398	0.9983076142643015	0.7866183098726972	0.40274918118845326	-0.028871678694388336	-0.4114977902264431	-0.6837661946079359	-0.8182334113165708	-0.8152033966985011	-0.6947558439184461	-0.48876831736164794	-0.23394183983060324	0.03369542004776599	0.2826821901744451	0.48850780757521767	0.6346979211185559	0.7128685996140339	0.7220252206743148	0.6673647360605376	0.5588062888056226	0.40943411569903565	0.5050505050505051
1.090991127640487	-1.5538358484576633	-0.9928119444368435	0.18347626990983912	0.9544946913305546	1.1085241235795855	0.7889934490074808	0.2418655291552072	-0.31016398530801925	-0.7173110324246867	-0.9098497912115815	-0.8843671661502833	-0.6823480596117127	-0.3686244909445542	-0.013478667927724342	0.3201691374621612	0.5844534796421241	0.7498471593206455	0.8050627848324282	0.7546529902030898	0.6152905955836317	0.41153528808647044	0.171693344364087	-0.07581748395156168	-0.3053570293751128	-0.49610461437565023	0.6060606060606061
0.9861729574663196	-1.8030030838525641	-0.6478897738114102	0.7329909401796446	1.2503750533236921	0.9569994853932052	0.26140897691561493	-0.44043124757509333	-0.8988334271849856	-1.023840348216679	-0.8467755695687685	-0.468087515996054	-0.010633143252298805	0.4139457805474097	0.7245722281498269	0.8778705665302973	0.8664086182137034	0.7114768658469051	0.4533603329229683	0.14134302569867985	-0.17506131878844988	-0.45282150773686297	-0.6597422656144705	-0.7765387418047984	-0.7969573986145767	-0.7263984721369814	0.7070707070707071
0.8914253080510353	-1.9899494250432201	-0.21455691273261837	1.200210526701513	1.2914190139930606	0.5295290675075524	-0.39064740574622425	-0.9989845706437013	-1.1276494603759832	-0.837026301394673	-0.304911502305135	0.26842672711294197	0.7216832752275415	0.9606344260335486	0.9607261394221457	0.7537865772278756	0.4075006210590554	0.004103619686322779	-0.37761933856840907	-0.6750101537029339	-0.8484388779873291	-0.8830172488998626	-0.7862876407635913	-0.5832621108711239	-0.3101421584115668	-0.007847815892128795	0.8080808080808081
0.805780643058266	-2.1243307862445193	0.2730331104577594	1.5403264834619943	1.090499710067903	-0.06245240687857234	-0.9853958941045308	-1.2645963407633882	-0.9340802130610755	-0.2628819528565651	0.43678991872988154	0.928461894972145	1.0978091171420548	0.9470501565878302	0.5610726395568735	0.06480934740510214	-0.41516688612470676	-0.7781034725218089	-0.9636842945187065	-0.9550605192777376	-0.7732205656574104	-0.466148650407331	-0.09598518578310955	0.2732597386057678	0.5857164671139317	0.8004798039924699	0.9090909090909091
